customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
102,112.0,3.0,2304.7439999999997,3,2,2,7,Potential
103,32.0,1.0,216.829,5,1,1,7,Potential
104,19.0,4.0,5942.748999999999,5,3,4,12,Loyal
105,224.0,4.0,3462.121,2,3,3,8,Potential
106,880.0,1.0,531.922,1,1,1,3,Lost
107,965.0,1.0,1379.8815,1,1,1,3,Lost
108,185.0,4.0,1820.9885,3,3,2,8,Potential
109,125.0,2.0,2538.0265,3,1,2,6,At Risk
110,323.0,3.0,3968.1209999999996,2,2,3,7,Potential
111,130.0,2.0,5329.6585,3,1,4,8,Potential
112,519.0,3.0,5012.8605,1,2,4,7,Potential
113,224.0,3.0,1748.567,2,2,1,5,At Risk
114,1.0,4.0,2815.8360000000002,5,3,2,10,Loyal
115,223.0,2.0,3695.8869999999997,2,1,3,6,At Risk
116,609.0,2.0,2163.59,1,1,2,4,Lost
117,30.0,3.0,1644.607,5,2,1,8,Potential
118,212.0,7.0,10284.338500000002,2,5,5,12,Loyal
119,161.0,3.0,1912.3475,3,2,2,7,Potential
120,533.0,2.0,2329.725,1,1,2,4,Lost
121,39.0,7.0,7338.492,5,5,5,15,Champions
122,231.0,5.0,7851.384000000001,2,4,5,11,Loyal
123,107.0,8.0,44292.2215,3,5,5,13,Champions
124,219.0,5.0,3920.3575,2,4,3,9,Potential
125,164.0,4.0,3426.527,3,3,3,9,Potential
126,483.0,7.0,12062.877999999999,1,5,5,11,Loyal
127,125.0,3.0,1809.584,3,2,2,7,Potential
128,0.0,2.0,2905.0710000000004,5,1,2,8,Potential
129,57.0,4.0,1654.603,4,3,1,8,Potential
130,46.0,5.0,6036.878500000001,4,4,4,12,Loyal
131,41.0,6.0,12028.2535,5,5,5,15,Champions
132,31.0,9.0,15945.511,5,5,5,15,Champions
133,447.0,5.0,5027.435,1,4,4,9,Potential
134,1039.0,1.0,1716.28,1,1,1,3,Lost
135,149.0,4.0,3355.215,3,3,3,9,Potential
136,273.0,4.0,4611.1825,2,3,4,9,Potential
137,172.0,3.0,5579.486,3,2,4,9,Potential
138,451.0,1.0,932.57,1,1,1,3,Lost
139,308.0,3.0,4447.619500000001,2,2,4,8,Potential
140,338.0,3.0,38504.804,2,2,5,9,Potential
141,498.0,3.0,6753.824999999999,1,2,5,8,Potential
142,37.0,6.0,6784.558499999999,5,5,5,15,Champions
143,775.0,2.0,1319.5695,1,1,1,3,Lost
144,119.0,2.0,1182.2875000000001,3,1,1,5,At Risk
145,48.0,7.0,9591.5175,4,5,5,14,Champions
146,548.0,3.0,4430.303,1,2,4,7,Potential
147,79.0,2.0,1770.6934999999999,4,1,1,6,At Risk
148,47.0,3.0,1031.1080000000002,4,2,1,7,Potential
149,125.0,5.0,3972.242,3,4,3,10,Loyal
150,395.0,3.0,3526.3305000000005,1,2,3,6,At Risk
151,136.0,2.0,2126.5640000000003,3,1,2,6,At Risk
152,36.0,7.0,4653.5355,5,5,4,14,Champions
153,485.0,4.0,3971.3765,1,3,3,7,Potential
154,18.0,6.0,3847.1510000000003,5,5,3,13,Champions
155,749.0,2.0,2877.321,1,1,2,4,Lost
156,2.0,6.0,5939.4664999999995,5,5,4,14,Champions
157,229.0,2.0,1829.83,2,1,2,5,At Risk
158,363.0,2.0,605.6220000000001,2,1,1,4,Lost
159,258.0,2.0,877.253,2,1,1,4,Lost
160,64.0,6.0,3308.086,4,5,3,12,Loyal
161,107.0,2.0,1810.5190000000002,3,1,2,6,At Risk
162,14.0,6.0,8396.44,5,5,5,15,Champions
163,212.0,5.0,15108.165000000003,2,4,5,11,Loyal
164,112.0,4.0,8465.225,3,3,5,11,Loyal
165,183.0,4.0,3541.893,3,3,3,9,Potential
166,185.0,2.0,2188.8064999999997,3,1,2,6,At Risk
167,32.0,4.0,15975.174500000001,5,3,5,13,Champions
168,181.0,3.0,10026.0465,3,2,5,10,Loyal
169,345.0,3.0,2840.3060000000005,2,2,2,6,At Risk
170,243.0,1.0,697.79,2,1,1,4,Lost
171,201.0,3.0,1333.9639999999997,3,2,1,6,At Risk
172,84.0,3.0,3254.313,4,2,3,9,Potential
173,385.0,3.0,5095.973999999999,1,2,4,7,Potential
174,470.0,1.0,1364.35,1,1,1,3,Lost
175,277.0,5.0,7443.320000000001,2,4,5,11,Loyal
176,188.0,4.0,4921.089,3,3,4,10,Loyal
177,474.0,1.0,3285.3700000000003,1,1,3,5,At Risk
178,23.0,6.0,5822.5025000000005,5,5,4,14,Champions
179,28.0,9.0,8864.801,5,5,5,15,Champions
180,522.0,1.0,967.038,1,1,1,3,Lost
181,464.0,2.0,1101.4155,1,1,1,3,Lost
182,59.0,4.0,2135.518,4,3,2,9,Potential
183,978.0,1.0,919.593,1,1,1,3,Lost
184,239.0,2.0,3138.2099999999996,2,1,3,6,At Risk
185,54.0,5.0,4753.338,4,4,4,12,Loyal
186,26.0,4.0,2419.4444999999996,5,3,2,10,Loyal
187,425.0,3.0,4997.4349999999995,1,2,4,7,Potential
188,583.0,2.0,1121.868,1,1,1,3,Lost
189,218.0,4.0,4124.2025,2,3,3,8,Potential
190,77.0,5.0,4262.951,4,4,3,11,Loyal
191,20.0,2.0,3970.0265,5,1,3,9,Potential
192,41.0,5.0,5520.255999999999,5,4,4,13,Champions
193,104.0,4.0,3393.3505,4,3,3,10,Loyal
194,620.0,3.0,2025.7310000000002,1,2,2,5,At Risk
195,85.0,6.0,3387.312,4,5,3,12,Loyal
196,484.0,2.0,1558.6799999999998,1,1,1,3,Lost
197,445.0,4.0,4743.802,1,3,4,8,Potential
198,456.0,2.0,1940.019,1,1,2,4,Lost
199,13.0,2.0,3649.8,5,1,3,9,Potential
200,3.0,3.0,4905.418000000001,5,2,4,11,Loyal
201,37.0,2.0,1023.592,5,1,1,7,Potential
202,12.0,5.0,6184.849499999999,5,4,4,13,Champions
203,19.0,4.0,6281.483000000001,5,3,4,12,Loyal
204,0.0,3.0,11184.235999999999,5,2,5,12,Loyal
205,44.0,4.0,4817.6835,5,3,4,12,Loyal
206,149.0,2.0,1408.2599999999998,3,1,1,5,At Risk
207,221.0,2.0,26716.8865,2,1,5,8,Potential
208,30.0,3.0,1579.4895000000001,5,2,1,8,Potential
209,9.0,4.0,6259.1605,5,3,4,12,Loyal
210,497.0,4.0,3569.1695,1,3,3,7,Potential
211,257.0,3.0,5739.472000000001,2,2,4,8,Potential
212,338.0,4.0,11136.4775,2,3,5,10,Loyal
213,180.0,3.0,452.88,3,2,1,6,At Risk
214,187.0,2.0,3067.7729999999997,3,1,2,6,At Risk
215,446.0,4.0,6135.401000000001,1,3,4,8,Potential
216,38.0,3.0,3812.134,5,2,3,10,Loyal
217,296.0,3.0,3473.512,2,2,3,7,Potential
218,610.0,1.0,751.6735000000001,1,1,1,3,Lost
219,256.0,3.0,2360.916,2,2,2,6,At Risk
220,515.0,6.0,9119.5945,1,5,5,11,Loyal
221,717.0,2.0,1394.9899999999998,1,1,1,3,Lost
222,61.0,4.0,2634.1675,4,3,2,9,Potential
223,463.0,2.0,660.043,1,1,1,3,Lost
225,138.0,3.0,3064.8365,3,2,2,7,Potential
226,127.0,5.0,5901.5275,3,4,4,11,Loyal
227,106.0,3.0,3395.2180000000003,4,2,3,9,Potential
228,210.0,8.0,7711.925499999999,2,5,5,12,Loyal
229,54.0,10.0,19921.671,4,5,5,14,Champions
230,217.0,5.0,6945.8185,2,4,5,11,Loyal
231,98.0,4.0,2114.5400000000004,4,3,2,9,Potential
232,78.0,3.0,3657.9825,4,2,3,9,Potential
233,6.0,3.0,2638.0004999999996,5,2,2,9,Potential
234,690.0,3.0,1306.7359999999999,1,2,1,4,Lost
235,316.0,2.0,3350.727,2,1,3,6,At Risk
236,370.0,6.0,4889.118999999999,2,5,4,11,Loyal
237,6.0,7.0,17440.446,5,5,5,15,Champions
238,999.0,1.0,970.345,1,1,1,3,Lost
239,577.0,2.0,3762.0805,1,1,3,5,At Risk
240,28.0,7.0,25107.311999999998,5,5,5,15,Champions
241,43.0,5.0,5054.467000000001,5,4,4,13,Champions
242,35.0,3.0,3327.1364999999996,5,2,3,10,Loyal
243,39.0,5.0,8334.268499999998,5,4,5,14,Champions
244,44.0,3.0,4054.799,5,2,3,10,Loyal
245,8.0,2.0,1155.1725000000001,5,1,1,7,Potential
246,65.0,4.0,4600.3665,4,3,4,11,Loyal
247,727.0,3.0,1397.0030000000002,1,2,1,4,Lost
248,173.0,4.0,5318.5419999999995,3,3,4,10,Loyal
249,567.0,2.0,749.8455,1,1,1,3,Lost
250,468.0,6.0,10105.332,1,5,5,11,Loyal
251,26.0,4.0,4919.436,5,3,4,12,Loyal
252,651.0,2.0,1337.0194999999999,1,1,1,3,Lost
253,36.0,5.0,5553.19,5,4,4,13,Champions
254,194.0,5.0,5863.4245,3,4,4,11,Loyal
255,33.0,3.0,3769.092,5,2,3,10,Loyal
256,169.0,3.0,2515.953,3,2,2,7,Potential
257,252.0,4.0,5881.465,2,3,4,9,Potential
258,429.0,3.0,2523.58,1,2,2,5,At Risk
259,321.0,6.0,3591.511,2,5,3,10,Loyal
260,41.0,4.0,5338.671,5,3,4,12,Loyal
261,278.0,3.0,3022.7745,2,2,2,6,At Risk
262,787.0,1.0,2553.882,1,1,2,4,Lost
263,59.0,4.0,3901.32,4,3,3,10,Loyal
264,19.0,6.0,6544.384999999999,5,5,4,14,Champions
265,18.0,3.0,3810.4890000000005,5,2,3,10,Loyal
266,187.0,4.0,3295.713,3,3,3,9,Potential
267,78.0,4.0,1233.6854999999998,4,3,1,8,Potential
268,869.0,1.0,329.441,1,1,1,3,Lost
269,84.0,5.0,4094.8499999999995,4,4,3,11,Loyal
270,412.0,4.0,5615.989,1,3,4,8,Potential
271,180.0,2.0,1532.787,3,1,1,5,At Risk
272,554.0,4.0,39584.1745,1,3,5,9,Potential
273,353.0,3.0,3124.6575,2,2,3,7,Potential
274,7.0,5.0,3961.6909999999993,5,4,3,12,Loyal
275,228.0,3.0,5861.558499999999,2,2,4,8,Potential
276,13.0,4.0,11516.446000000002,5,3,5,13,Champions
277,207.0,6.0,9970.358499999998,2,5,5,12,Loyal
278,194.0,4.0,2296.5604999999996,3,3,2,8,Potential
279,184.0,4.0,5026.951999999999,3,3,4,10,Loyal
280,461.0,1.0,1018.773,1,1,1,3,Lost
281,20.0,3.0,6558.5,5,2,4,11,Loyal
282,46.0,6.0,12729.867499999998,4,5,5,14,Champions
283,100.0,2.0,1026.328,4,1,1,6,At Risk
284,3.0,4.0,6570.412000000001,5,3,4,12,Loyal
285,294.0,6.0,9186.351,2,5,5,12,Loyal
286,85.0,8.0,8432.142000000002,4,5,5,14,Champions
287,369.0,3.0,6061.282,2,2,4,8,Potential
288,48.0,3.0,2843.438,4,2,2,8,Potential
289,829.0,3.0,6252.627,1,2,4,7,Potential
290,45.0,2.0,10354.628,5,1,5,11,Loyal
291,1.0,2.0,3327.126,5,1,3,9,Potential
292,160.0,3.0,4441.182,3,2,4,9,Potential
293,39.0,7.0,8311.815,5,5,5,15,Champions
294,172.0,2.0,3387.724,3,1,3,7,Potential
295,599.0,6.0,7402.728499999999,1,5,5,11,Loyal
296,374.0,5.0,6820.6615,1,4,5,10,Loyal
297,766.0,1.0,91.13,1,1,1,3,Lost
298,337.0,2.0,38003.024,2,1,5,8,Potential
299,70.0,2.0,3899.8869999999997,4,1,3,8,Potential
300,4.0,4.0,2255.634,5,3,2,10,Loyal
301,402.0,1.0,355.11400000000003,1,1,1,3,Lost
302,222.0,3.0,1782.9450000000002,2,2,1,5,At Risk
303,447.0,2.0,12373.13,1,1,5,7,Potential
304,161.0,3.0,2599.39,3,2,2,7,Potential
305,144.0,4.0,2330.5425,3,3,2,8,Potential
306,299.0,5.0,8154.719,2,4,5,11,Loyal
307,182.0,5.0,2498.082,3,4,2,9,Potential
308,557.0,3.0,5291.2795,1,2,4,7,Potential
309,4.0,6.0,8828.281500000001,5,5,5,15,Champions
310,34.0,3.0,2600.427,5,2,2,9,Potential
311,162.0,3.0,7264.470000000001,3,2,5,10,Loyal
312,1073.0,1.0,1292.831,1,1,1,3,Lost
313,56.0,4.0,4285.406999999999,4,3,3,10,Loyal
314,216.0,3.0,3233.8799999999997,2,2,3,7,Potential
315,220.0,3.0,9982.3995,2,2,5,9,Potential
316,44.0,4.0,4924.3,5,3,4,12,Loyal
317,129.0,2.0,589.85,3,1,1,5,At Risk
318,233.0,4.0,8542.934500000001,2,3,5,10,Loyal
319,326.0,2.0,3094.89,2,1,3,6,At Risk
320,719.0,3.0,2482.1415,1,2,2,5,At Risk
321,665.0,3.0,11705.619,1,2,5,8,Potential
323,457.0,3.0,3037.7580000000003,1,2,2,5,At Risk
324,119.0,5.0,2357.407,3,4,2,9,Potential
325,3.0,10.0,8290.136999999999,5,5,5,15,Champions
326,230.0,3.0,2881.0519999999997,2,2,2,6,At Risk
327,6.0,6.0,17898.333,5,5,5,15,Champions
328,128.0,5.0,7950.056500000001,3,4,5,12,Loyal
329,24.0,6.0,12922.817500000001,5,5,5,15,Champions
330,130.0,4.0,7045.177000000001,3,3,5,11,Loyal
332,273.0,3.0,2406.346,2,2,2,6,At Risk
333,1.0,6.0,5369.916,5,5,4,14,Champions
334,32.0,4.0,4845.2654999999995,5,3,4,12,Loyal
335,21.0,5.0,2583.6315,5,4,2,11,Loyal
336,190.0,4.0,4232.7390000000005,3,3,3,9,Potential
337,29.0,1.0,1878.6599999999999,5,1,2,8,Potential
338,39.0,3.0,4519.5395,5,2,4,11,Loyal
339,236.0,5.0,4110.83,2,4,3,9,Potential
340,106.0,2.0,1780.503,4,1,1,6,At Risk
341,2.0,6.0,5919.356,5,5,4,14,Champions
342,185.0,4.0,2223.5,3,3,2,8,Potential
343,680.0,1.0,1719.4980000000003,1,1,1,3,Lost
344,26.0,4.0,2696.16,5,3,2,10,Loyal
345,259.0,7.0,6374.550499999999,2,5,4,11,Loyal
346,160.0,6.0,7224.877,3,5,5,13,Champions
347,317.0,6.0,7284.3814999999995,2,5,5,12,Loyal
348,172.0,4.0,3119.7984999999994,3,3,3,9,Potential
349,108.0,5.0,6107.4165,3,4,4,11,Loyal
350,18.0,7.0,18883.021,5,5,5,15,Champions
351,40.0,5.0,7053.489999999999,5,4,5,14,Champions
352,52.0,2.0,3112.122,4,1,3,8,Potential
353,115.0,5.0,4789.241,3,4,4,11,Loyal
354,81.0,10.0,12099.181,4,5,5,14,Champions
355,39.0,5.0,8165.152999999999,5,4,5,14,Champions
356,18.0,4.0,3116.3109999999997,5,3,3,11,Loyal
357,170.0,6.0,4721.955,3,5,4,12,Loyal
358,62.0,3.0,5505.831,4,2,4,10,Loyal
359,287.0,1.0,1051.54,2,1,1,4,Lost
360,76.0,5.0,6833.726000000001,4,4,5,13,Champions
361,127.0,3.0,3297.6405000000004,3,2,3,8,Potential
362,296.0,7.0,9437.319,2,5,5,12,Loyal
363,371.0,4.0,3934.784,1,3,3,7,Potential
364,520.0,3.0,4391.611499999999,1,2,3,6,At Risk
365,32.0,5.0,2947.8895,5,4,2,11,Loyal
366,339.0,2.0,1858.1909999999998,2,1,2,5,At Risk
367,765.0,2.0,1127.706,1,1,1,3,Lost
368,428.0,6.0,3656.994,1,5,3,9,Potential
370,63.0,8.0,5476.9475,4,5,4,13,Champions
371,386.0,1.0,7041.4,1,1,5,7,Potential
372,321.0,1.0,2168.901,2,1,2,5,At Risk
373,70.0,5.0,5246.9,4,4,4,12,Loyal
374,580.0,2.0,2478.568,1,1,2,4,Lost
375,161.0,5.0,4357.2915,3,4,3,10,Loyal
376,982.0,1.0,1512.03,1,1,1,3,Lost
377,475.0,1.0,2402.008,1,1,2,4,Lost
378,9.0,1.0,1851.75,5,1,2,8,Potential
379,21.0,3.0,13697.9375,5,2,5,12,Loyal
380,518.0,1.0,599.32,1,1,1,3,Lost
381,711.0,3.0,3183.31,1,2,3,6,At Risk
382,247.0,4.0,4301.819,2,3,3,8,Potential
383,18.0,5.0,2555.665,5,4,2,11,Loyal
384,22.0,6.0,9312.0295,5,5,5,15,Champions
385,75.0,5.0,2951.672,4,4,2,10,Loyal
386,946.0,1.0,510.705,1,1,1,3,Lost
387,57.0,6.0,5861.29,4,5,4,13,Champions
388,810.0,3.0,1022.7855000000001,1,2,1,4,Lost
389,68.0,5.0,3452.677,4,4,3,11,Loyal
390,475.0,4.0,4172.1615,1,3,3,7,Potential
391,54.0,3.0,2557.296,4,2,2,8,Potential
392,789.0,2.0,4296.8615,1,1,3,5,At Risk
393,482.0,3.0,1591.3139999999999,1,2,1,4,Lost
394,382.0,1.0,1948.78,1,1,2,4,Lost
395,269.0,1.0,580.3544999999999,2,1,1,4,Lost
396,267.0,7.0,5102.7249999999985,2,5,4,11,Loyal
397,112.0,2.0,3269.7,3,1,3,7,Potential
398,130.0,4.0,3278.3219999999997,3,3,3,9,Potential
399,85.0,3.0,4688.4015,4,2,4,10,Loyal
400,230.0,5.0,5474.8910000000005,2,4,4,10,Loyal
401,452.0,2.0,1577.2,1,1,1,3,Lost
402,161.0,3.0,3249.322,3,2,3,8,Potential
403,49.0,5.0,7085.9095,4,4,5,13,Champions
404,114.0,3.0,2910.5099999999998,3,2,2,7,Potential
405,53.0,8.0,8685.717999999999,4,5,5,14,Champions
406,325.0,4.0,12040.881,2,3,5,10,Loyal
407,81.0,4.0,4551.831,4,3,4,11,Loyal
408,86.0,6.0,7884.1455000000005,4,5,5,14,Champions
409,66.0,6.0,4370.2595,4,5,3,12,Loyal
410,0.0,2.0,37948.8,5,1,5,11,Loyal
411,82.0,5.0,3034.2605,4,4,2,10,Loyal
412,43.0,6.0,6869.5705,5,5,5,15,Champions
413,153.0,6.0,5240.638500000001,3,5,4,12,Loyal
414,36.0,4.0,11846.195,5,3,5,13,Champions
415,85.0,1.0,486.72,4,1,1,6,At Risk
416,150.0,6.0,5476.2715,3,5,4,12,Loyal
417,74.0,4.0,3315.2320000000004,4,3,3,10,Loyal
419,107.0,1.0,1426.6060000000002,3,1,1,5,At Risk
420,38.0,4.0,5150.894,5,3,4,12,Loyal
421,227.0,5.0,3556.7715,2,4,3,9,Potential
422,365.0,2.0,1667.239,2,1,1,4,Lost
423,784.0,2.0,39698.47,1,1,5,7,Potential
424,744.0,2.0,2161.875,1,1,2,4,Lost
425,74.0,4.0,4331.2065,4,3,3,10,Loyal
426,73.0,5.0,6462.817500000001,4,4,4,12,Loyal
427,46.0,4.0,2826.373,4,3,2,9,Potential
428,428.0,1.0,540.513,1,1,1,3,Lost
429,331.0,3.0,3631.1200000000003,2,2,3,7,Potential
430,291.0,4.0,7025.975,2,3,5,10,Loyal
431,232.0,2.0,2928.4869999999996,2,1,2,5,At Risk
432,21.0,8.0,4924.62,5,5,4,14,Champions
433,538.0,1.0,848.74,1,1,1,3,Lost
434,153.0,2.0,993.8665000000001,3,1,1,5,At Risk
436,180.0,3.0,4651.7615,3,2,4,9,Potential
437,155.0,4.0,3704.9015000000004,3,3,3,9,Potential
438,83.0,3.0,1445.5865,4,2,1,7,Potential
439,240.0,4.0,16618.3115,2,3,5,10,Loyal
440,532.0,1.0,2407.806,1,1,2,4,Lost
441,440.0,6.0,4625.993,1,5,4,10,Loyal
442,22.0,4.0,3632.686,5,3,3,11,Loyal
443,159.0,6.0,6219.159500000001,3,5,4,12,Loyal
444,42.0,4.0,3328.879,5,3,3,11,Loyal
445,136.0,2.0,13437.857999999998,3,1,5,9,Potential
446,68.0,3.0,3755.8145000000004,4,2,3,9,Potential
447,341.0,3.0,3290.999,2,2,3,7,Potential
448,20.0,7.0,7740.268,5,5,5,15,Champions
449,84.0,5.0,5657.898999999999,4,4,4,12,Loyal
450,72.0,3.0,4296.397999999999,4,2,3,9,Potential
451,9.0,3.0,3185.5280000000002,5,2,3,10,Loyal
452,814.0,2.0,1369.1775,1,1,1,3,Lost
453,244.0,3.0,3195.9865,2,2,3,7,Potential
454,151.0,4.0,4934.116,3,3,4,10,Loyal
455,4.0,1.0,568.2615,5,1,1,7,Potential
456,4.0,3.0,2485.9894999999997,5,2,2,9,Potential
457,270.0,1.0,669.1800000000001,2,1,1,4,Lost
458,789.0,2.0,1106.7065,1,1,1,3,Lost
459,245.0,4.0,5803.526499999999,2,3,4,9,Potential
460,52.0,3.0,3870.886,4,2,3,9,Potential
461,250.0,4.0,5168.515,2,3,4,9,Potential
462,146.0,5.0,13147.209499999999,3,4,5,12,Loyal
463,207.0,3.0,1468.364,2,2,1,5,At Risk
464,287.0,1.0,723.46,2,1,1,4,Lost
465,92.0,2.0,1993.0865,4,1,2,7,Potential
466,50.0,7.0,5718.459999999999,4,5,4,13,Champions
468,56.0,2.0,2083.3685,4,1,2,7,Potential
469,17.0,5.0,37892.18,5,4,5,14,Champions
470,17.0,2.0,682.6149999999999,5,1,1,7,Potential
471,64.0,4.0,3657.336,4,3,3,10,Loyal
472,105.0,4.0,1972.1385,4,3,2,9,Potential
473,24.0,6.0,8661.989,5,5,5,15,Champions
474,358.0,5.0,17828.7025,2,4,5,11,Loyal
475,44.0,8.0,6698.7675,5,5,5,15,Champions
477,30.0,6.0,3438.5505,5,5,3,13,Champions
478,415.0,4.0,3287.9775,1,3,3,7,Potential
479,100.0,2.0,3533.6904999999997,4,1,3,8,Potential
480,57.0,2.0,1744.3965,4,1,1,6,At Risk
481,881.0,2.0,3121.04,1,1,3,5,At Risk
482,70.0,6.0,7532.602500000001,4,5,5,14,Champions
483,71.0,4.0,3307.1719999999996,4,3,3,10,Loyal
484,293.0,2.0,3661.402,2,1,3,6,At Risk
485,154.0,6.0,8223.802,3,5,5,13,Champions
486,557.0,5.0,4302.712,1,4,3,8,Potential
487,3.0,5.0,3810.8944999999994,5,4,3,12,Loyal
488,286.0,4.0,3706.6310000000003,2,3,3,8,Potential
489,77.0,2.0,1914.016,4,1,2,7,Potential
490,153.0,3.0,1171.1045,3,2,1,6,At Risk
491,27.0,3.0,2360.373,5,2,2,9,Potential
492,372.0,2.0,5409.259000000001,1,1,4,6,At Risk
